Scenario,Replication,Seed,agent_id,agent_type,name,road,condition,is_broken,broke_during_flood,total_vehicles_passed,length
0,1,123,1000000,SourceSink,sourcesink 1,N1,,,,3022,0.0
0,1,123,1000001,Link,,N1,,,,10224,7901.113999999999
0,1,123,1000015,Bridge,bridge 1,N1,C,False,False,8925,397.0
0,1,123,1000016,Link,,N1,,,,427,70.954
0,1,123,1000017,Intersection,intersection 1,N1,,,,1686,252.369
0,1,123,1000018,Link,,N1,,,,10120,715.823
0,1,123,1000019,Bridge,bridge 2,N1,B,False,False,0,8.0
0,1,123,1000020,Bridge,bridge 3,N1,A,False,False,0,6.3
0,1,123,1000021,Bridge,bridge 4,N1,A,False,False,0,6.3
0,1,123,1000022,Link,,N1,,,,807,135.756
0,1,123,1000023,Bridge,bridge 5,N1,A,False,False,0,8.3
0,1,123,1000024,Link,,N1,,,,9239,587.193
0,1,123,1000026,Bridge,bridge 6,N1,A,False,False,0,9.3
0,1,123,1000027,Bridge,bridge 7,N1,A,False,False,0,6.1
0,1,123,1000028,Intersection,intersection 2,N1,,,,3338,163.334
0,1,123,1000029,Link,,N1,,,,12483,582.564
0,1,123,1000030,Bridge,bridge 8,N1,A,False,False,0,26.3
0,1,123,1000031,Link,,N1,,,,15826,2839.505
0,1,123,1000035,Bridge,bridge 9,N1,B,False,False,0,5.55
0,1,123,1000036,Link,,N1,,,,15824,888.934
0,1,123,1000040,Bridge,bridge 10,N1,C,False,False,6687,159.52
0,1,123,1000041,Link,,N1,,,,11707,663.843
0,1,123,1000044,Bridge,bridge 11,N1,B,False,False,0,20.0
0,1,123,1000045,Bridge,bridge 12,N1,A,False,False,0,20.45
0,1,123,1000046,Link,,N1,,,,11661,621.042
0,1,123,1000047,Bridge,bridge 13,N1,C,False,False,0,40.5
0,1,123,1000048,Bridge,bridge 14,N1,B,False,False,1596,40.33
0,1,123,1000049,Link,,N1,,,,0,6.8
0,1,123,1000050,Bridge,bridge 15,N1,A,False,False,0,6.0
0,1,123,1000051,Bridge,bridge 16,N1,B,False,False,0,10.4
0,1,123,1000052,Link,,N1,,,,15828,1280.083
0,1,123,1000056,Bridge,bridge 17,N1,B,False,False,0,5.5
0,1,123,1000057,Link,,N1,,,,15826,874.029
0,1,123,1000061,Bridge,bridge 18,N1,B,False,False,2547,213.5
0,1,123,1000062,Link,,N1,,,,4162,67.955
0,1,123,1000063,Bridge,bridge 19,N1,C,False,False,15825,900.0
0,1,123,1000064,Link,,N1,,,,15825,1110.6100000000001
0,1,123,1000066,Bridge,bridge 20,N1,A,False,False,0,5.6
0,1,123,1000067,Bridge,bridge 21,N1,A,False,False,0,5.5
0,1,123,1000068,Link,,N1,,,,5800,316.921
0,1,123,1000069,Bridge,bridge 22,N1,A,False,False,0,5.6
0,1,123,1000070,Link,,N1,,,,5053,140.219
0,1,123,1000071,Bridge,bridge 23,N1,A,False,False,1627,163.5
0,1,123,1000072,Bridge,bridge 24,N1,A,False,False,3344,172.1
0,1,123,1000073,Link,,N1,,,,8362,415.733
0,1,123,1000075,Bridge,bridge 25,N1,A,False,False,2489,29.0
0,1,123,1000076,Bridge,bridge 26,N1,A,False,False,0,29.77
0,1,123,1000077,Link,,N1,,,,10770,649.727
0,1,123,1000078,Bridge,bridge 27,N1,A,False,False,0,34.7
0,1,123,1000079,Link,,N1,,,,14226,643.097
0,1,123,1000083,Bridge,bridge 28,N1,B,False,False,0,26.3
0,1,123,1000084,Link,,N1,,,,15822,845.4590000000001
0,1,123,1000087,Bridge,bridge 29,N1,A,False,False,0,29.0
0,1,123,1000088,Link,,N1,,,,13277,582.337
0,1,123,1000089,Bridge,bridge 30,N1,A,False,False,0,9.1
0,1,123,1000090,Bridge,bridge 31,N1,A,False,False,0,5.2
0,1,123,1000091,Link,,N1,,,,15824,1700.003
0,1,123,1000094,Bridge,bridge 32,N1,A,False,False,0,9.5
0,1,123,1000095,Link,,N1,,,,15825,945.9390000000001
0,1,123,1000098,Bridge,bridge 33,N1,B,False,False,2560,24.5
0,1,123,1000099,Link,,N1,,,,15838,8876.918
0,1,123,1000118,Bridge,bridge 34,N1,C,False,False,0,3.9
0,1,123,1000119,Link,,N1,,,,15826,932.32
0,1,123,1000122,Bridge,bridge 35,N1,C,False,False,0,6.5
0,1,123,1000123,Link,,N1,,,,15839,8687.705000000002
0,1,123,1000137,Bridge,bridge 36,N1,C,False,False,0,28.9
0,1,123,1000138,Link,,N1,,,,15848,11234.391
0,1,123,1000158,Bridge,bridge 37,N1,A,False,False,0,4.5
0,1,123,1000159,Link,,N1,,,,15840,2988.225
0,1,123,1000165,Bridge,bridge 38,N1,C,False,False,0,23.1
0,1,123,1000166,Link,,N1,,,,15840,2177.616
0,1,123,1000170,Bridge,bridge 39,N1,B,False,False,0,4.6
0,1,123,1000171,Link,,N1,,,,0,159.478
0,1,123,1000172,Bridge,bridge 40,N1,B,False,False,0,4.6
0,1,123,1000173,Link,,N1,,,,4147,130.454
0,1,123,1000174,Bridge,bridge 41,N1,A,False,False,0,1.5
0,1,123,1000175,Link,,N1,,,,15837,1197.6689999999999
0,1,123,1000177,Bridge,bridge 42,N1,C,False,False,0,1.0
0,1,123,1000178,Link,,N1,,,,15840,2718.9559999999997
0,1,123,1000183,Bridge,bridge 43,N1,A,False,False,0,1.4
0,1,123,1000186,Link,,N1,,,,29952,3986.3759999999997
0,1,123,1000191,Bridge,bridge 44,N1,C,False,False,2110,22.85
0,1,123,1000192,Link,,N1,,,,29973,5553.24
0,1,123,1000204,Bridge,bridge 45,N1,C,False,False,0,27.35
0,1,123,1000205,Link,,N1,,,,29981,3923.617
0,1,123,1000211,Bridge,bridge 46,N1,C,False,False,0,27.35
0,1,123,1000212,Link,,N1,,,,29987,2922.4700000000003
0,1,123,1000217,Bridge,bridge 47,N1,A,False,False,2093,30.4
0,1,123,1000218,Link,,N1,,,,29992,2987.0919999999996
